iter	Passed	Remaining
0	152	152357
1	156	78290
2	161	53702
3	166	41449
4	170	33995
5	175	29000
6	177	25170
7	180	22419
8	184	20293
9	187	18525
10	188	16987
11	192	15828
12	194	14788
13	197	13901
14	199	13119
15	202	12430
16	204	11807
17	206	11250
18	208	10761
19	210	10313
20	212	9902
21	214	9541
22	216	9192
23	218	8884
24	220	8594
25	222	8327
26	224	8074
27	225	7836
28	227	7622
29	229	7430
30	231	7241
31	233	7063
32	235	6893
33	237	6736
34	238	6583
35	240	6437
36	242	6301
37	243	6172
38	245	6051
39	247	5933
40	248	5821
41	250	5713
42	252	5610
43	253	5511
44	254	5406
45	256	5314
46	257	5228
47	259	5147
48	261	5082
49	263	5009
50	265	4934
51	266	4862
52	268	4794
53	269	4729
54	271	4665
55	273	4603
56	274	4544
57	276	4488
58	277	4433
59	279	4378
60	281	4326
61	282	4275
62	284	4225
63	285	4177
64	287	4131
65	288	4086
66	290	4042
67	291	3998
68	293	3956
69	294	3916
70	296	3876
71	297	3837
72	299	3800
73	300	3764
74	302	3728
75	303	3693
76	305	3662
77	307	3629
78	308	3598
79	310	3568
80	311	3538
81	313	3508
82	314	3478
83	316	3449
84	317	3420
85	319	3392
86	320	3365
87	322	3339
88	323	3314
89	325	3288
90	326	3263
91	328	3239
92	329	3214
93	331	3191
94	332	3168
95	334	3145
96	335	3122
97	336	3101
98	338	3079
99	340	3060
100	341	3040
101	343	3020
102	344	3000
103	345	2980
104	347	2963
105	349	2946
106	350	2927
107	352	2909
108	353	2891
109	355	2875
110	356	2858
111	358	2841
112	359	2824
113	361	2807
114	362	2790
115	364	2774
116	365	2758
117	366	2742
118	368	2727
119	369	2712
120	371	2700
121	373	2686
122	374	2672
123	376	2658
124	377	2645
125	379	2632
126	380	2618
127	382	2605
128	383	2592
129	385	2579
130	387	2567
131	388	2556
132	390	2544
133	392	2533
134	393	2521
135	395	2512
136	396	2500
137	398	2490
138	400	2479
139	401	2469
140	403	2459
141	405	2448
142	406	2437
143	408	2426
144	409	2417
145	411	2407
146	413	2396
147	414	2386
148	415	2375
149	417	2365
150	419	2356
151	420	2346
152	422	2337
153	423	2327
154	425	2317
155	426	2308
156	428	2298
157	429	2289
158	431	2279
159	432	2270
160	434	2262
161	435	2254
162	437	2246
163	439	2238
164	440	2230
165	442	2222
166	443	2214
167	445	2205
168	446	2197
169	448	2188
170	449	2180
171	451	2175
172	453	2167
173	454	2159
174	456	2152
175	457	2144
176	459	2136
177	460	2128
178	462	2120
179	463	2112
180	465	2105
181	466	2098
182	468	2091
183	469	2083
184	471	2076
185	472	2069
186	474	2062
187	475	2055
188	477	2048
189	478	2041
190	480	2033
191	481	2027
192	483	2020
193	484	2014
194	486	2007
195	488	2003
196	489	1997
197	491	1990
198	492	1983
199	494	1977
200	495	1971
201	497	1964
202	499	1959
203	500	1952
204	501	1946
205	503	1940
206	504	1934
207	506	1927
208	507	1921
209	509	1916
210	510	1910
211	512	1904
212	513	1898
213	515	1892
214	516	1887
215	518	1881
216	519	1876
217	521	1870
218	523	1867
219	525	1863
220	527	1859
221	529	1855
222	531	1851
223	533	1847
224	534	1842
225	536	1837
226	538	1832
227	539	1827
228	541	1821
229	542	1816
230	544	1811
231	545	1806
232	547	1800
233	548	1795
234	549	1790
235	551	1785
236	552	1780
237	554	1774
238	555	1769
239	557	1764
240	558	1760
241	560	1755
242	561	1750
243	563	1745
244	564	1740
245	566	1736
246	568	1732
247	570	1729
248	572	1725
249	573	1720
250	575	1716
251	576	1711
252	578	1706
253	579	1702
254	581	1697
255	582	1692
256	583	1688
257	585	1683
258	586	1679
259	588	1674
260	589	1670
261	591	1665
262	592	1661
263	594	1656
264	595	1652
265	597	1647
266	598	1643
267	600	1639
268	601	1634
269	602	1630
270	604	1626
271	606	1622
272	607	1618
273	609	1613
274	610	1610
275	612	1606
276	613	1602
277	615	1598
278	616	1593
279	618	1589
280	619	1585
281	621	1581
282	622	1578
283	624	1574
284	625	1570
285	627	1566
286	628	1562
287	630	1558
288	631	1554
289	633	1550
290	634	1546
291	636	1542
292	637	1538
293	639	1534
294	640	1530
295	642	1527
296	643	1523
297	645	1519
298	646	1516
299	648	1512
300	649	1508
301	651	1505
302	652	1501
303	654	1497
304	655	1493
305	657	1490
306	658	1486
307	660	1483
308	661	1479
309	663	1476
310	664	1472
311	666	1469
312	667	1465
313	669	1461
314	670	1458
315	672	1454
316	673	1451
317	674	1447
318	676	1443
319	677	1440
320	679	1436
321	681	1433
322	682	1430
323	684	1427
324	685	1423
325	686	1420
326	688	1416
327	689	1413
328	691	1410
329	692	1406
330	694	1403
331	695	1399
332	697	1396
333	698	1393
334	700	1390
335	701	1386
336	703	1383
337	704	1380
338	706	1376
339	707	1373
340	708	1370
341	710	1366
342	712	1364
343	713	1361
344	715	1357
345	716	1354
346	718	1351
347	719	1348
348	721	1344
349	722	1341
350	723	1338
351	725	1335
352	726	1332
353	728	1328
354	729	1325
355	731	1322
356	732	1319
357	734	1316
358	735	1313
359	737	1310
360	738	1307
361	740	1304
362	741	1301
363	743	1298
364	744	1295
365	746	1292
366	747	1289
367	749	1286
368	750	1283
369	751	1280
370	753	1277
371	754	1274
372	756	1271
373	757	1268
374	759	1265
375	760	1262
376	762	1259
377	763	1256
378	764	1253
379	766	1250
380	767	1247
381	769	1244
382	770	1241
383	771	1238
384	773	1235
385	774	1232
386	776	1229
387	777	1226
388	779	1224
389	780	1221
390	782	1218
391	783	1215
392	785	1212
393	786	1210
394	788	1207
395	789	1204
396	791	1201
397	792	1198
398	793	1195
399	795	1192
400	796	1190
401	798	1187
402	799	1184
403	801	1182
404	802	1179
405	804	1176
406	805	1173
407	807	1170
408	808	1168
409	809	1165
410	811	1162
411	812	1159
412	814	1157
413	815	1154
414	817	1152
415	818	1149
416	820	1147
417	821	1144
418	823	1141
419	824	1139
420	826	1136
421	827	1133
422	829	1131
423	830	1128
424	832	1125
425	833	1123
426	834	1120
427	836	1117
428	837	1115
429	839	1112
430	840	1110
431	842	1107
432	843	1104
433	845	1102
434	846	1099
435	848	1097
436	849	1094
437	851	1092
438	852	1089
439	854	1087
440	855	1084
441	857	1082
442	858	1079
443	859	1076
444	861	1074
445	863	1072
446	865	1070
447	867	1068
448	869	1066
449	870	1064
450	872	1062
451	874	1059
452	875	1057
453	877	1054
454	878	1052
455	880	1050
456	881	1047
457	883	1045
458	885	1043
459	887	1041
460	888	1039
461	890	1036
462	892	1034
463	893	1032
464	895	1030
465	897	1027
466	898	1025
467	900	1023
468	902	1021
469	903	1019
470	905	1016
471	906	1014
472	907	1011
473	909	1009
474	910	1006
475	912	1004
476	913	1001
477	915	999
478	916	997
479	918	994
480	919	992
481	920	989
482	922	987
483	923	985
484	925	982
485	926	980
486	928	977
487	930	975
488	931	973
489	933	971
490	934	968
491	936	966
492	937	964
493	939	962
494	941	960
495	942	957
496	943	955
497	945	953
498	946	950
499	948	948
500	949	946
501	951	943
502	952	941
503	954	939
504	955	936
505	957	934
506	958	932
507	960	929
508	961	927
509	963	925
510	964	923
511	966	920
512	967	918
513	969	916
514	970	913
515	971	911
516	973	909
517	975	907
518	976	905
519	978	903
520	979	900
521	981	898
522	982	896
523	984	894
524	985	891
525	987	889
526	988	887
527	989	884
528	991	882
529	992	880
530	994	878
531	995	875
532	997	873
533	998	871
534	1000	869
535	1001	866
536	1002	864
537	1004	862
538	1005	860
539	1007	858
540	1008	855
541	1010	853
542	1011	851
543	1013	849
544	1014	847
545	1016	845
546	1017	842
547	1019	840
548	1020	838
549	1022	836
550	1023	834
551	1025	832
552	1026	829
553	1028	827
554	1029	825
555	1031	823
556	1032	821
557	1034	819
558	1035	816
559	1037	814
560	1038	812
561	1040	810
562	1041	808
563	1043	806
564	1044	804
565	1045	802
566	1047	799
567	1048	797
568	1050	795
569	1052	793
